CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1939,3,3,180,28,27,133,52,304,340,33,4,4,7,0,0,6,3,1,2,6,0,2,0,1132,0,65,1197,2198
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1940,1,1,90,9,11,28,8,99,126,9,5,3,2,0,0,3,0,1,1,7,1,0,0,403,0,12,415,733
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1941,2,2,113,15,15,39,21,125,178,15,0,0,2,0,0,13,0,0,1,6,2,1,0,546,1,44,591,1062
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1942,3,3,134,16,22,64,33,256,283,23,6,4,5,0,0,8,10,3,2,12,7,1,15,904,1,47,952,1767
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1943,2,2,125,29,9,51,22,107,156,15,2,2,5,0,0,2,2,1,1,3,8,2,1,543,0,26,569,886
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1944,3,3,159,24,27,54,25,199,321,22,4,9,10,0,0,9,4,2,4,10,3,0,0,886,0,59,945,1581
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1945,2,2,29,20,11,59,25,110,321,11,1,1,4,0,0,11,0,2,2,3,0,0,0,610,0,19,629,1179
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1946,2,2,24,4,5,23,13,128,72,2,0,3,1,0,0,106,0,0,1,32,0,0,0,414,0,26,440,969
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1947,2,2,28,5,10,32,35,64,348,11,2,3,3,0,0,5,0,0,0,1,0,0,0,547,0,24,571,1072
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1948,1,1,67,11,15,13,34,19,49,3,2,2,3,0,0,4,1,4,0,3,0,0,0,230,0,27,257,641
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1949,1,1,82,4,3,10,10,7,30,2,0,0,0,0,0,6,0,0,0,23,0,0,0,177,0,14,191,281
5,16,MICHOACAN,1,LA PIEDAD,107,YURECUARO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,16,MICHOACAN,1,LA PIEDAD,107,YURECUARO,2370,2,2,116,56,7,34,40,27,153,132,3,6,2,0,0,3,1,2,9,15,5,0,0,611,0,17,628,941
5,16,MICHOACAN,1,LA PIEDAD,107,YURECUARO,2371,2,2,99,51,13,28,15,19,119,136,7,1,1,0,0,0,0,2,8,9,1,0,0,509,0,13,522,801
5,16,MICHOACAN,1,LA PIEDAD,107,YURECUARO,2372,1,1,87,56,6,31,19,13,111,101,1,0,0,0,0,2,0,1,6,6,1,1,0,442,0,12,454,732
5,16,MICHOACAN,1,LA PIEDAD,107,YURECUARO,2373,2,2,122,56,9,75,46,36,230,188,5,5,10,0,0,8,2,1,12,9,1,0,0,815,1,27,843,1342
5,16,MICHOACAN,1,LA PIEDAD,107,YURECUARO,2374,3,3,89,55,10,88,95,31,325,190,3,2,1,0,0,10,2,12,20,7,3,0,0,943,0,26,969,1713
