CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,314,2,2,234,28,11,19,14,31,202,8,5,0,0,552,1,43,596,1120
2,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,315,6,6,1076,113,9,71,67,156,592,32,21,2,0,2139,2,147,2288,4198
2,1,AGUASCALIENTES,12,AGUASCALIENTES,1,AGUASCALIENTES,316,5,5,531,164,31,45,27,111,686,18,17,1,1,1632,0,78,1710,3031
2,1,AGUASCALIENTES,12,AGUASCALIENTES,1,AGUASCALIENTES,317,4,4,580,106,26,63,26,85,520,24,11,0,1,1442,0,68,1510,2718
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,320,9,9,2578,195,42,71,34,255,548,54,23,2,0,3802,3,78,3883,6017
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,321,3,3,772,86,41,35,15,71,255,20,9,0,0,1304,0,39,1343,2078
2,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,324,3,3,651,54,15,10,18,54,162,22,21,2,0,1009,0,51,1060,2109
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,326,15,15,4416,328,74,126,92,715,1382,120,23,4,2,7282,9,146,7437,10628
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,327,9,9,2698,260,40,117,46,217,654,60,22,2,0,4116,3,80,4199,6184
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,328,3,3,530,70,49,39,15,44,228,10,8,0,0,993,0,44,1037,1765
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,329,2,2,165,39,5,12,8,40,194,5,5,1,0,474,0,41,515,1121
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,330,4,4,571,149,41,30,24,87,285,19,12,1,0,1219,0,63,1282,2836
2,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,332,4,4,603,89,14,32,18,82,412,26,17,1,1,1295,0,68,1363,2689
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,333,5,6,548,99,27,25,27,104,583,11,4,0,0,1428,3,80,1511,2388
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,334,3,3,399,62,4,39,17,72,406,15,12,1,0,1027,1,57,1085,2164
