CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,68,2,2,115,13,11,43,4,161,40,0,0,0,96,4,12,0,0,0,2,3,2,0,0,1,0,0,0,0,0,507,0,13,520,833
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,69,1,1,40,19,1,19,1,115,11,0,0,0,68,0,10,1,1,0,1,0,0,0,0,0,1,0,0,0,1,289,0,12,301,501
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,70,1,1,12,6,1,15,1,53,9,0,0,0,38,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,143,0,4,147,232
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,71,1,1,8,1,4,21,2,28,9,0,0,0,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,122,0,4,126,187
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,72,1,1,9,0,5,17,0,14,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,4,75,106
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,74,1,1,17,25,7,6,5,114,12,0,0,0,86,2,8,0,0,0,1,0,2,0,0,1,0,0,0,0,0,286,0,10,296,461
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,75,1,1,38,9,7,56,15,82,42,0,0,0,110,3,3,0,0,0,0,0,1,1,1,3,2,0,0,0,2,375,0,19,394,600
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,76,1,1,5,3,1,23,0,11,12,0,0,0,18,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,80,0,4,84,143
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,77,1,1,0,0,0,0,0,65,0,0,0,0,206,0,17,0,0,0,28,0,0,0,0,0,0,0,0,0,0,316,0,16,332,482
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,78,2,2,12,15,3,22,1,82,27,0,0,0,335,1,0,0,1,1,4,0,0,0,0,1,1,0,0,0,0,506,0,15,521,754
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,79,2,2,18,6,32,155,10,141,40,0,0,0,206,2,5,1,0,0,2,5,0,0,1,1,0,0,0,0,0,625,0,10,635,1033
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,80,1,1,25,8,5,82,4,88,29,0,0,0,107,3,5,0,0,0,5,2,0,0,0,0,2,0,0,0,0,365,0,12,377,578
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,81,1,1,14,1,4,32,2,33,8,0,0,0,57,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,156,0,0,156,225
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,82,1,1,30,6,6,48,4,95,27,0,0,0,123,2,2,0,2,0,2,0,0,0,0,0,1,0,0,0,0,348,0,12,360,536
