CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,835,2,2,232,36,0,5,11,20,138,0,9,11,0,3,1,466,0,10,476,838
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,836,2,2,197,20,0,8,14,13,161,0,10,4,0,1,1,429,0,7,436,752
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,837,2,2,215,33,0,4,4,15,210,0,6,9,3,4,3,506,0,14,520,921
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,838,1,1,119,15,0,6,8,14,173,0,8,6,0,0,3,352,0,9,361,635
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,839,4,4,544,49,0,20,33,57,626,0,34,25,1,7,6,1402,1,32,1435,2536
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,840,2,2,149,15,1,7,11,21,256,0,10,13,1,1,3,488,2,15,505,893
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,841,2,2,193,24,0,17,14,10,210,0,10,9,1,1,3,492,0,14,506,864
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,842,2,2,213,22,0,4,15,12,239,0,11,8,1,3,6,534,0,17,551,969
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,843,1,1,144,16,0,2,8,11,184,0,13,7,2,0,1,388,0,4,392,749
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,844,2,2,209,33,0,4,20,21,295,0,18,14,0,1,2,617,0,15,632,1142
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,845,2,2,224,22,0,3,8,27,186,0,13,7,1,1,5,497,1,15,513,888
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,846,1,1,178,23,0,2,6,8,139,0,8,6,0,0,1,371,0,5,376,675
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,847,2,2,195,28,1,13,12,10,158,0,19,5,1,1,2,445,0,12,457,888
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,848,2,2,285,27,0,12,13,14,226,0,23,12,0,1,4,617,0,12,629,1160
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,849,2,2,180,21,0,4,11,12,174,0,15,10,1,1,2,431,0,8,439,828
