ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,87,TANHUATO,11,22,23,1031,165,155,506,278,1418,2224,146,26,31,42,0,0,173,20,14,14,106,21,6,16,6392,2,363,6757,12370,
16,MICHOACAN,88,TARETAN,9,23,23,1240,436,160,2046,524,184,2062,69,93,121,26,0,0,80,40,52,35,,,33,,7201,1,421,7623,12326,
16,MICHOACAN,89,TARIMBARO,45,126,127,4179,7553,1619,10380,1920,3669,6956,807,601,430,499,0,0,1340,294,342,130,1085,140,35,43,42022,14,1780,43816,75807,
16,MICHOACAN,90,TEPALCATEPEC,15,31,31,329,1093,359,449,1111,232,2785,75,15,69,52,0,0,252,44,94,88,120,13,5,2,7187,0,359,7546,17106,
16,MICHOACAN,91,TINGAMBATO,5,16,17,109,622,1493,134,196,194,2225,82,76,319,43,0,0,56,9,10,26,20,12,3,3,5632,1,376,6009,8210,
16,MICHOACAN,92,TINGÜINDIN,11,24,25,2826,1001,198,117,1165,797,902,27,12,8,7,0,0,239,50,9,51,,155,,,7564,13,279,7856,12289,
16,MICHOACAN,93,TIQUICHEO DE NICOLAS ROMERO,11,18,18,74,1575,549,169,1596,99,1436,720,19,12,16,0,0,34,15,8,33,19,41,1,5,6421,0,463,6884,10425,
16,MICHOACAN,94,TLALPUJAHUA,15,36,36,650,859,1708,473,2519,2175,2383,264,205,48,242,0,0,372,96,27,86,236,24,21,15,12403,0,733,13136,20690,
16,MICHOACAN,95,TLAZAZALCA,12,17,17,136,252,791,71,95,119,1434,123,338,30,16,0,0,33,10,16,9,18,5,4,3,3503,0,217,3720,8510,
16,MICHOACAN,96,TOCUMBO,12,19,19,3063,197,177,147,1285,197,401,10,9,3,10,0,0,112,22,5,35,,438,,,6111,0,231,6342,10230,
16,MICHOACAN,97,TUMBISCATIO,5,8,8,82,185,68,314,82,77,861,9,434,14,34,0,0,41,11,25,5,,,4,,2246,0,216,2462,4969,
16,MICHOACAN,98,TURICATO,36,52,52,750,922,607,5486,630,689,2129,89,76,50,72,0,0,806,202,171,71,105,41,22,15,12933,0,991,13924,25755,
16,MICHOACAN,99,TUXPAN,17,37,38,597,911,1825,549,2035,700,4603,105,86,30,71,0,0,289,62,182,111,422,31,20,23,12652,2,667,13321,20962,
16,MICHOACAN,100,TUZANTLA,20,27,27,154,769,2330,175,296,319,2474,44,31,15,48,0,0,93,20,19,24,57,19,13,19,6919,1,427,7347,12313,
16,MICHOACAN,101,TZINTZUNTZAN,10,21,21,292,587,590,874,321,1401,2246,484,56,264,198,0,0,210,34,40,19,40,2,2,7,7667,0,506,8173,12267,
16,MICHOACAN,102,TZITZIO,15,20,21,144,1286,496,120,360,67,1679,16,23,4,12,0,0,93,19,14,33,18,11,11,7,4413,6,263,4682,7903,
16,MICHOACAN,103,URUAPAN,150,433,435,9416,3506,2738,4379,3802,5607,26660,1068,294,976,902,46134,29603,1965,277,423,442,934,196,53,40,139415,102,6530,146047,264853,
16,MICHOACAN,104,VENUSTIANO CARRANZA,22,39,39,1835,631,136,512,583,1603,5373,122,22,24,45,0,0,274,29,63,67,57,186,8,3,11573,5,442,12020,19839,
16,MICHOACAN,105,VILLAMAR,19,33,33,602,1717,345,188,366,842,2610,119,13,19,49,0,0,144,13,20,48,,63,,,7158,0,426,7584,17111,
16,MICHOACAN,106,VISTA HERMOSA,13,29,29,432,757,401,300,333,702,4232,66,20,36,50,0,0,298,33,57,49,148,17,12,8,7951,1,275,8227,16400,
16,MICHOACAN,107,YURECUARO,19,42,43,1461,730,167,1133,896,427,4215,3270,55,41,58,0,0,109,24,39,190,84,23,6,1,12929,1,531,13461,24614,
16,MICHOACAN,108,ZACAPU,48,114,115,2166,1275,2398,2155,3002,2871,14650,1145,350,597,829,0,0,1133,152,173,247,296,22,32,7,33500,7,2243,35750,64002,
16,MICHOACAN,109,ZAMORA,97,267,268,24234,3730,1371,3787,2698,6111,20193,,3015,290,304,0,0,2133,224,380,375,,,900,,69745,55,2666,72466,158640,
16,MICHOACAN,110,ZINAPARO,8,9,9,165,601,45,39,65,293,312,8,10,5,4,0,0,54,3,5,9,143,8,1,4,1774,0,135,1909,3822,
16,MICHOACAN,111,ZINAPECUARO,32,72,73,2088,1117,3235,834,767,3467,6369,248,56,91,298,0,0,806,116,126,192,391,62,271,18,20552,6,1055,21613,41547,
16,MICHOACAN,112,ZIRACUARETIRO,7,17,17,1337,758,308,508,372,353,1985,29,27,44,32,0,0,51,21,9,71,,,12,,5917,1,424,6342,10358,
16,MICHOACAN,113,ZITACUARO,81,211,212,5664,7387,4341,3402,5023,8501,18058,3997,1000,1395,378,0,0,1586,316,554,366,1869,226,97,120,64280,37,4338,68655,125238,
