ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,38,COACOATZINTLA,5,15,15,615,414,108,397,334,335,2063,151,50,16,2,0,103,18,27,26,4659,2,129,4790,8262,
30,VERACRUZ,44,COLIPA,6,10,10,196,80,99,180,196,88,1819,71,20,1,4,1,88,15,12,23,2893,0,112,3005,4747,
30,VERACRUZ,59,CHICONQUIACO,8,18,18,812,105,176,2230,228,511,1444,304,26,9,2,0,35,18,78,23,6001,0,278,6279,9965,
30,VERACRUZ,94,JILOTEPEC,9,23,23,735,674,147,1000,232,720,3251,178,85,24,3,3,191,27,75,30,7375,3,240,7618,12213,
30,VERACRUZ,96,JUCHIQUE DE FERRER,18,27,27,507,320,90,790,422,426,3646,254,39,13,2,0,238,47,82,25,6901,3,278,7182,11859,
30,VERACRUZ,97,LANDERO Y COSS,2,3,3,337,45,2,67,63,47,394,11,3,0,0,0,10,1,2,5,987,0,28,1015,1436,
30,VERACRUZ,107,MIAHUATLAN,3,7,7,117,75,26,162,117,76,1400,33,4,2,0,0,35,5,14,4,2070,0,43,2113,3649,
30,VERACRUZ,110,MISANTLA,53,97,97,4457,1158,196,867,1003,1665,14484,1703,254,90,5,17,629,82,158,140,26908,8,1170,28086,48454,
30,VERACRUZ,113,NAOLINCO,13,31,31,1703,675,107,586,477,883,4120,257,98,41,8,0,200,32,79,38,9304,5,305,9614,16982,
30,VERACRUZ,115,NAUTLA,11,20,20,502,484,58,349,187,120,2845,128,39,8,0,2,116,36,51,15,4940,4,148,5092,8089,
30,VERACRUZ,162,TENOCHTITLAN,6,10,10,228,81,33,713,109,43,846,72,24,5,3,0,45,11,10,3,2226,0,60,2286,4237,
30,VERACRUZ,165,TEPETLAN,6,15,15,494,178,47,364,554,442,1642,261,35,8,3,1,78,47,30,32,4216,1,189,4406,7646,
30,VERACRUZ,176,TLACOLULAN,6,14,14,769,794,198,593,249,341,1763,126,97,19,5,4,54,23,23,11,5069,0,175,5244,8627,
30,VERACRUZ,186,TONAYAN,3,7,7,232,317,23,177,270,118,882,45,28,21,1,1,32,16,7,9,2179,0,57,2236,4493,
