CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,3,COLIMA,1,COLIMA,90,2,2,49,36,4,14,8,72,74,4,2,0,0,5,2,2,4,1,277,0,16,293,560
5,6,COLIMA,3,COLIMA,1,COLIMA,91,2,2,24,49,3,14,10,61,145,1,5,0,0,4,15,1,1,2,335,0,9,344,633
5,6,COLIMA,4,COMALA,2,COMALA,92,4,4,222,324,0,172,42,109,414,11,69,17,173,49,47,12,7,5,1673,1,31,1705,2627
5,6,COLIMA,4,COMALA,2,COMALA,93,3,3,155,245,0,86,15,76,203,5,40,6,72,29,20,5,1,1,959,1,35,995,1527
5,6,COLIMA,4,COMALA,2,COMALA,94,2,2,133,227,0,88,18,75,193,11,35,6,100,37,14,7,5,4,953,0,32,985,1486
5,6,COLIMA,4,COMALA,2,COMALA,95,3,3,157,247,0,129,38,63,253,8,32,11,123,37,26,11,7,4,1146,0,41,1187,1823
5,6,COLIMA,4,COMALA,2,COMALA,96,3,3,181,342,0,86,15,45,153,18,19,7,68,30,10,3,5,3,985,1,22,1008,1388
5,6,COLIMA,4,COMALA,2,COMALA,97,1,1,7,13,0,11,7,5,63,0,13,3,45,0,3,0,1,6,177,0,15,192,283
5,6,COLIMA,4,COMALA,2,COMALA,98,1,1,5,14,0,7,0,3,16,2,2,0,19,4,3,0,0,0,75,0,0,75,105
5,6,COLIMA,4,COMALA,2,COMALA,99,2,2,29,98,0,30,10,17,139,2,17,5,24,11,3,5,4,1,395,1,13,409,621
5,6,COLIMA,4,COMALA,2,COMALA,100,4,4,107,152,0,70,60,61,351,9,92,11,122,10,26,15,17,5,1108,0,48,1156,1768
