CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,73,B,1,0,B,0,86,219,79,12,8,404,0,14,418,689,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,74,B,1,0,B,0,7,46,2,9,10,74,0,1,75,160,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,75,B,1,0,B,0,218,90,7,4,,319,2,4,325,531,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,75,C,1,0,C01,0,241,101,7,6,,355,1,6,362,530,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,76,B,1,0,B,0,204,120,6,9,,339,0,11,350,542,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,76,C,1,0,C01,0,228,84,3,6,,321,0,10,331,541,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,76,C,2,0,C02,0,217,123,2,8,,350,0,10,360,541,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,77,B,1,0,B,0,181,72,1,3,,257,2,9,268,401,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,77,C,1,0,C01,0,165,65,5,6,,241,0,13,254,401,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,77,S,1,0,S01,0,123,45,2,3,,173,0,8,181,0,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,78,B,1,0,B,0,265,89,5,0,,359,1,10,370,553,Acta casilla,,,
