CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_RP,C_PAN_PRI_PRD,3,JULIA LILA CEJA CANELA,2,,,PRD
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_RP,C_PAN_PRI_PRD,4,CARLOS RAMON MALDONADO CABRERA,1,,,PRD
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_RP,MC,5,EDUARDO IBAÑEZ TINOCO,1,,,MC
5,16,MICHOACAN,3,MARAVATIO,7,APORO,,,PRES_MUN,MC,1,JUAN AGUSTIN TORRES SANDOVAL,1,,,MC
5,16,MICHOACAN,3,MARAVATIO,7,APORO,,,SIND_MR,MC,1,MARICRUZ VILLEGAS SOLIS,2,,,MC
5,16,MICHOACAN,3,MARAVATIO,7,APORO,,,REG_MR,MC,1,ARTURO HERNANDEZ MEJIA,1,,,MC
5,16,MICHOACAN,3,MARAVATIO,7,APORO,,,REG_MR,MC,2,ERICA MENDOZA GONZALEZ,2,,,MC
5,16,MICHOACAN,3,MARAVATIO,7,APORO,,,REG_MR,MC,3,IGNACIO ALEJANDRE MONDRAGON,1,,,MC
5,16,MICHOACAN,3,MARAVATIO,7,APORO,,,REG_MR,MC,4,CRISTINA BRUNO TELLES,2,,,MC
5,16,MICHOACAN,3,MARAVATIO,7,APORO,,,REG_RP,TMX,1,LEONEL BAUTISTA RESENDIZ,1,,,TMX
5,16,MICHOACAN,3,MARAVATIO,7,APORO,,,REG_RP,C_PRD_PESM,2,SUSANA BECERRIL MENDIOLA,2,,,PRD
5,16,MICHOACAN,3,MARAVATIO,7,APORO,,,REG_RP,TMX,3,SARA RESENDIZ TELLO,2,,,TMX
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,,,PRES_MUN,PVEM,1,JOSE MARIA VALENCIA GUILLEN,1,,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,,,SIND_MR,PVEM,1,BRENDA ELIZABETH BALTAZAR RAMOS,2,,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,,,REG_MR,PVEM,1,VICTOR ZAMBRANO LUGARDO,1,CANDIDATURAS INDIGENAS,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,,,REG_MR,PVEM,2,JOSEFINA GOMEZ CARDENAS,2,,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,,,REG_MR,PVEM,3,MARCIANO ISIDRO CHAVEZ,1,CANDIDATURAS INDIGENAS,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,,,REG_MR,PVEM,4,ALEJANDRA TAPIA HUERTA,2,,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,,,REG_RP,C_PAN_PRI_PRD,1,LAURA ROMERO DIAZ,2,CANDIDATURAS INDIGENAS,,PRD
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,,,REG_RP,MORENA,2,MA DE LOS ANGELES ANTONIA JIMENEZ RIVERA,2,,,MORENA
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,,,REG_RP,C_PAN_PRI_PRD,3,LUCAS MIRANDA ALCARAZ,1,,,PRD
5,16,MICHOACAN,19,TACAMBARO,9,ARIO,,,PRES_MUN,PT_PVEM_MORENA,1,KARLA YOHANA MENDOZA BERMUDEZ,2,,,PVEM
5,16,MICHOACAN,19,TACAMBARO,9,ARIO,,,SIND_MR,PT_PVEM_MORENA,1,RICARDO DIAZ NEGRETE,1,,,PVEM
5,16,MICHOACAN,19,TACAMBARO,9,ARIO,,,REG_MR,PT_PVEM_MORENA,1,ARACELI ROMERO SANCHEZ,2,CANDIDATURAS MIGRANTE,,PVEM
5,16,MICHOACAN,19,TACAMBARO,9,ARIO,,,REG_MR,PT_PVEM_MORENA,2,DIEGO MARTINEZ RODRIGUEZ,1,,,PVEM
5,16,MICHOACAN,19,TACAMBARO,9,ARIO,,,REG_MR,PT_PVEM_MORENA,3,LUMINOSA BAEZ SOLIS,2,,,PVEM
5,16,MICHOACAN,19,TACAMBARO,9,ARIO,,,REG_MR,PT_PVEM_MORENA,4,ERIC ISRAEL ORTEGA OROZCO,1,,,PVEM
5,16,MICHOACAN,19,TACAMBARO,9,ARIO,,,REG_RP,MC,1,CLAUDIA PÉREZ NEGRÓN ALEJANDRE,2,,,MC
5,16,MICHOACAN,19,TACAMBARO,9,ARIO,,,REG_RP,C_PAN_PRI,2,EDER DE JESÚS ÁVILA MAGAÑA,1,,,PAN
5,16,MICHOACAN,19,TACAMBARO,9,ARIO,,,REG_RP,MC,3,BLANCA ESTELA REYES VILLAGÓMEZ,2,,,MC
5,16,MICHOACAN,22,MUGICA,10,ARTEAGA,,,PRES_MUN,PT_PVEM_MORENA,1,WENDOLY ALEJANDRA AVELLANEDA TORRES,2,CANDIDATURAS MIGRANTE,,PT
5,16,MICHOACAN,22,MUGICA,10,ARTEAGA,,,SIND_MR,PT_PVEM_MORENA,1,JAVIER ONTIVEROS MEDINA,1,CANDIDATURAS MIGRANTE,,PT
5,16,MICHOACAN,22,MUGICA,10,ARTEAGA,,,REG_MR,PT_PVEM_MORENA,1,YEIME YULIANA PACHECO AMEZCUA,2,,,PT
5,16,MICHOACAN,22,MUGICA,10,ARTEAGA,,,REG_MR,PT_PVEM_MORENA,2,ANDRES SANTOS HERNANDEZ,1,,,PT
5,16,MICHOACAN,22,MUGICA,10,ARTEAGA,,,REG_MR,PT_PVEM_MORENA,3,ROSA FARIAS PEÑA,2,,,PT
5,16,MICHOACAN,22,MUGICA,10,ARTEAGA,,,REG_MR,PT_PVEM_MORENA,4,HECTOR HURTADO CALDERON,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PT
5,16,MICHOACAN,22,MUGICA,10,ARTEAGA,,,REG_RP,C_PAN_PRI,1,SOCORRO PARDO CARRILLO,2,,,PRI
5,16,MICHOACAN,22,MUGICA,10,ARTEAGA,,,REG_RP,C_PAN_PRI,2,GABRIEL CUEVAS CUEVAS,1,,,PRI
5,16,MICHOACAN,22,MUGICA,10,ARTEAGA,,,REG_RP,C_PRD_PESM,3,GUADALUPE MONSERRAT VALDIVIA CORREA,2,,,PRD
5,16,MICHOACAN,4,JIQUILPAN,11,BRISEÑAS,,,PRES_MUN,MC,1,MA LOURDES PADILLA ESPINOZA,2,,,MC
5,16,MICHOACAN,4,JIQUILPAN,11,BRISEÑAS,,,SIND_MR,MC,1,VICTOR MANUEL RAMIREZ CARMONA,1,,,MC
5,16,MICHOACAN,4,JIQUILPAN,11,BRISEÑAS,,,REG_MR,MC,1,ALEJANDRA GODINEZ BRISEÑO,2,,,MC
5,16,MICHOACAN,4,JIQUILPAN,11,BRISEÑAS,,,REG_MR,MC,2,JOEL GONZALEZ MEJIA,1,,,MC
5,16,MICHOACAN,4,JIQUILPAN,11,BRISEÑAS,,,REG_MR,MC,3,MAYRA JEANETTE CHAVEZ BARRAGAN,2,,,MC
5,16,MICHOACAN,4,JIQUILPAN,11,BRISEÑAS,,,REG_MR,MC,4,LUIS ENRIQUE JIMENEZ ROSAS,1,,,MC
5,16,MICHOACAN,4,JIQUILPAN,11,BRISEÑAS,,,REG_RP,C_PRI_PRD,1,ANTONIO HERNANDEZ PLASCENCIA,1,CANDIDATURAS MIGRANTE,,PRI
5,16,MICHOACAN,4,JIQUILPAN,11,BRISEÑAS,,,REG_RP,C_PVEM_MORENA,2,GUILLERMO EFRAIN CASTELLANOS GUZMAN,1,,,PVEM
5,16,MICHOACAN,4,JIQUILPAN,11,BRISEÑAS,,,REG_RP,PAN,3,ALEJANDRO MAYA TULE,1,,,PAN
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,,,PRES_MUN,PT_PVEM_MORENA,1,IRMA MORENO MENDOZA,2,,,MORENA
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,,,SIND_MR,PT_PVEM_MORENA,1,JORDAN JESUS GABRIEL TORRES,1,,,MORENA
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,,,REG_MR,PT_PVEM_MORENA,1,ALEJANDRA GONZALEZ GARCIA,2,,,MORENA
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,,,REG_MR,PT_PVEM_MORENA,2,MIGUEL ANGEL MIRANDA RODRIGUEZ,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
