CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,333,1,1,76,25,5,23,17,25,170,8,3,2,0,0,0,8,0,1,0,5,4,1,0,1,0,374,0,16,390,624
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,334,2,2,88,33,4,25,14,22,210,3,1,0,0,0,3,6,0,0,0,9,4,0,0,0,1,423,0,13,436,785
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,335,2,2,154,69,6,36,26,56,464,11,4,1,1,0,0,25,0,0,0,3,8,0,3,1,3,871,0,17,888,1476
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,336,2,2,78,48,7,34,17,29,295,9,3,2,1,0,1,16,1,0,1,3,4,1,2,0,1,553,0,7,560,1090
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,337,1,1,48,40,4,15,7,18,108,6,0,0,0,0,0,9,1,0,1,3,2,0,1,0,0,263,0,8,271,458
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,338,2,2,97,54,6,34,14,24,190,16,2,5,0,0,2,2,6,0,0,6,2,0,1,0,1,462,0,25,487,848
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1403,2,2,141,11,4,16,11,25,238,9,5,1,1,0,5,14,1,0,0,1,3,2,1,0,3,492,0,8,500,819
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1404,2,2,161,16,8,31,18,14,324,10,4,1,0,0,1,8,3,0,0,2,5,0,0,0,1,607,0,18,625,1084
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1405,2,2,98,10,3,36,13,22,314,14,3,2,0,0,1,5,0,1,0,2,2,0,1,0,1,528,1,17,546,971
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1406,2,2,166,17,7,20,13,27,304,11,4,2,2,0,0,3,0,1,0,2,3,1,0,0,1,584,1,10,595,1112
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1407,2,2,33,21,2,25,6,3,192,8,2,0,0,2,0,2,0,0,0,0,6,0,2,0,1,305,0,2,307,479
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1408,3,3,93,23,1,17,10,22,379,9,5,0,0,0,9,12,0,0,0,3,3,0,4,0,2,592,0,9,601,1541
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1409,2,2,109,34,2,18,9,18,290,5,5,1,0,0,1,11,3,0,0,1,2,0,0,0,0,509,0,5,514,919
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1410,2,2,56,46,5,15,6,12,246,5,6,1,0,0,1,8,0,2,0,5,4,0,1,0,1,420,0,25,445,768
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1411,2,2,57,17,2,26,18,11,236,2,7,2,0,0,1,14,0,0,0,3,8,1,3,1,1,410,0,12,422,746
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,4,4,199,90,20,51,20,57,896,18,11,5,0,1,5,46,2,0,0,2,9,0,7,0,2,1441,0,29,1470,2389
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2776,3,3,346,133,7,82,23,55,271,10,24,11,0,0,3,10,0,3,0,2,7,1,3,0,1,992,0,24,1016,1753
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2777,3,3,321,90,6,86,25,57,337,23,24,5,0,0,2,12,0,3,0,2,5,0,2,0,2,1002,0,25,1027,1872
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2778,1,1,22,8,2,39,5,4,103,2,3,0,0,0,1,8,0,0,0,0,7,0,0,0,0,204,0,8,212,355
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2779,1,1,19,16,2,33,3,2,118,4,1,1,0,0,1,9,0,0,0,0,3,0,0,0,0,212,0,10,222,369
