CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,PVEM_MORENA_FXM_BC,PVEM_MORENA,PVEM_FXM_BC,MORENA_FXM_BC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,93,2,2,174,31,10,21,23,42,185,79,40,0,0,0,0,0,605,1,25,631,1053
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,94,2,2,166,40,11,28,39,47,271,118,45,0,0,0,0,0,765,3,34,802,1463
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,95,3,3,115,34,14,30,66,60,313,128,55,0,0,0,0,0,815,5,53,873,1745
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,96,3,3,54,35,14,30,45,27,394,71,38,0,0,0,0,0,708,4,61,773,1748
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,97,2,2,19,18,7,14,52,31,310,76,21,0,0,0,0,0,548,4,45,597,1326
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,98,3,3,174,45,27,34,58,80,501,164,36,0,0,0,0,0,1119,9,57,1185,2214
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,99,2,2,82,28,12,45,34,38,293,68,40,0,0,0,0,0,640,4,24,668,1231
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,100,2,2,93,30,21,37,40,54,346,112,52,0,0,0,0,0,785,1,41,827,1458
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,101,2,2,111,26,8,22,35,44,232,87,22,0,0,0,0,0,587,6,57,650,1128
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,102,2,2,147,47,14,30,38,53,252,95,42,0,0,0,0,0,718,6,37,761,1285
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,103,2,2,128,32,14,18,27,50,242,108,36,0,0,0,0,0,655,5,29,689,1209
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,104,2,2,149,38,14,23,39,47,279,108,45,0,0,0,0,0,742,7,61,810,1412
